Borough,Householder's Sex,Householder's Age,Householder's Race,Number of Persons form Temporary Residence,Most Recent Place Householder Lived for 6 Months or More,Year Householder Moved Into Unit ,Reason for Householder Moving,Place of Householder's Birth,Condo/Coop Status,Owner/Renter,Cash Rent/Rent Free,Down Payment,Down Payment Status,Value,Mortgage Status,Mortgage Origination Year,Mortgage Interest Rate,Insurance Paid Separately,Real Estate Taxes Paid Separately,Number of Units in Building,Owner Lives in Building,Number of Stories in Building,Number of Rooms ,Number of Bedrooms,Complete Plumbing Facilities ,Toilet Breakdowns,Complete Kitchen Facilities ,Kitchen Facilities Functioning,Type of Heating Fuel,Electricity Paid Separately,Electricity Monthly Cost ,Gas Paid Separately,Gas Monthly Cost ,Combined Gas/Electricity Monthly Cost,Water and Sewer Paid Separately,Water and Sewer Annual Cost,Other Fuels,Other Fuels Annual Cost ,Monthly Contract Ren,Length of Lease,Federal Section 8,Other Rental Subsidy,Out of Pocket Rent,Householder Moved to the United States as an Immigrant ,Year Householder Moved to the United States,Year Householder Moved to New York City,Control Status,Monthly Owner Cost,Monthly Gross Rent,Monthly Gross Rent per room,Monthly Contract Rent Per Room,Household Below Specified Income Level,Total Household Income,Income Flag,Monthly Gross Rent as Percent of Household Income,Monthly Contract Rent as Percent of Household Income
1,2,50,1,1,3,1994,2,99,11,3,1,9999999,9,60000,2,9999,9999,3,3,10,1,5,4,3,1,2,1,1,3,1,80,1,25,9999,2,9999,2,99999,99999,9,9,3,99999,1,1983,1983,2,591,99999,9999,9999,1,884,0,9999,9999
1,1,76,1,1,3,1975,2,99,11,3,1,9999999,9,40000,1,9998,9998,2,3,10,1,4,6,5,1,1,1,1,3,1,90,2,9999,9999,2,9999,3,99999,99999,9,9,3,99999,1,1968,1968,2,1243,99999,9999,9999,1,1943,0,9999,9999
1,1,77,1,1,3,1975,3,99,11,1,1,9999999,9,40000,1,9998,9998,2,2,10,1,4,6,6,1,1,1,1,3,2,9999,9,9999,90,2,9999,3,99999,99999,9,9,3,99999,8,1968,1968,1,855,99999,9999,9999,1,1942,0,9999,9999
1,2,37,2,1,3,2012,2,99,7,1,9,9999999,9,9999999,9,9999,9999,9,9,13,2,5,2,2,1,2,1,1,2,2,9999,9,9999,140,2,9999,3,99999,1217,2,2,2,1217,9,9999,9999,31,999999,1357,679,609,1,9000,0,1010,1010
1,2,38,2,1,3,2014,2,6,9,1,9,9999999,9,9999999,9,9999,9999,9,9,12,3,5,4,3,1,2,1,1,2,2,9999,9,9999,140,2,9999,2,99999,1300,2,8,2,99998,9,9999,1978,31,999999,1440,360,325,3,29400,0,588,531
1,2,38,2,1,5,2009,1,99,11,1,9,9999999,9,9999999,9,9999,9999,9,9,12,2,5,4,3,1,2,1,1,2,1,110,3,9999,9999,2,9999,3,99999,1300,4,8,2,99998,9,9999,9999,31,999999,1410,353,325,1,500,0,1010,1010
1,2,35,1,1,3,2009,1,99,7,1,9,9999999,9,9999999,9,9999,9999,9,9,13,2,5,5,3,1,2,1,1,2,1,100,1,100,9999,2,9999,3,99999,2000,4,1,2,99998,9,9999,9999,31,999999,2200,440,400,1,3840,0,1010,1010
1,2,43,2,1,3,2015,2,16,7,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,4,3,2,1,2,1,1,2,2,9999,9,9999,100,2,9999,3,99999,99999,9,9,3,99999,9,9999,9999,5,999999,99999,9999,9999,2,13440,0,9999,9999
1,2,67,1,1,3,2005,1,99,11,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,4,3,2,1,2,1,1,1,1,40,3,9999,9999,2,9999,3,99999,160,2,2,2,160,2,1994,1994,5,999999,200,67,53,2,12120,0,198,158
1,2,60,1,1,3,1992,2,99,7,1,9,9999999,9,9999999,9,9999,9999,9,9,11,2,5,5,4,1,2,1,1,4,1,150,1,150,9999,2,9999,2,99999,1200,6,2,2,1200,9,9999,9999,5,999999,1500,300,240,3,66000,0,273,218
1,1,41,2,1,4,2006,2,99,9,1,9,9999999,9,9999999,9,9999,9999,9,9,5,2,2,5,4,1,2,1,1,2,1,175,2,9999,9999,2,9999,3,99999,1200,6,2,2,1200,9,9999,9998,80,999999,1375,275,240,3,72000,0,229,200
1,1,75,1,1,98,1984,1,99,14,1,1,9999999,9,500000,1,9998,9998,1,2,6,1,1,5,4,1,2,1,1,2,1,408,2,9999,9999,1,1200,3,99999,99999,9,9,3,99999,1,1979,1979,1,2232,99999,9999,9999,1,6000,0,9999,9999
1,1,43,1,2,3,2014,2,2,10,1,9,9999999,9,9999999,9,9999,9999,9,9,5,1,1,1,1,2,2,2,1,2,3,9999,2,9999,9999,2,9999,3,99999,680,6,2,2,680,9,9999,9999,80,999999,680,680,680,3,16000,0,510,510
